iter	Passed	Remaining
0	3	3172
1	4	2476
2	6	2242
3	8	2156
4	11	2366
5	14	2406
6	17	2549
7	19	2468
8	23	2623
9	26	2578
10	28	2576
11	32	2656
12	34	2651
13	37	2660
14	40	2654
15	43	2685
16	46	2710
17	50	2771
18	55	2875
19	58	2855
20	61	2869
21	64	2876
22	67	2857
23	69	2839
24	72	2841
25	75	2843
26	81	2923
27	83	2881
28	85	2848
29	86	2812
30	89	2794
31	92	2784
32	94	2763
33	96	2739
34	98	2713
35	100	2701
36	104	2732
37	110	2799
38	113	2799
39	115	2780
40	117	2754
41	119	2726
42	121	2696
43	122	2668
44	124	2646
45	127	2635
46	128	2612
47	130	2590
48	132	2569
49	134	2547
50	135	2527
51	137	2506
52	139	2487
53	140	2469
54	142	2451
55	144	2433
56	147	2432
57	149	2432
58	151	2421
59	153	2406
60	155	2397
61	157	2387
62	159	2376
63	162	2382
64	165	2377
65	167	2366
66	169	2355
67	170	2342
68	172	2328
69	174	2314
70	175	2301
71	177	2286
72	179	2275
73	181	2269
74	183	2260
75	184	2248
76	186	2237
77	188	2227
78	190	2217
79	191	2206
80	193	2195
81	195	2185
82	196	2175
83	198	2168
84	200	2157
85	202	2149
86	203	2139
87	205	2131
88	207	2122
89	208	2111
90	210	2102
91	212	2093
92	213	2084
93	215	2076
94	216	2066
95	218	2059
96	221	2057
97	222	2051
98	224	2044
99	226	2039
100	228	2033
101	230	2032
102	232	2028
103	235	2027
104	238	2029
105	241	2035
106	243	2031
107	245	2028
108	247	2023
109	249	2019
110	251	2012
111	253	2006
112	255	2003
113	256	1997
114	258	1991
115	261	1990
116	263	1990
117	265	1987
118	267	1983
119	270	1981
120	272	1978
121	274	1972
122	275	1967
123	277	1961
124	279	1957
125	281	1952
126	283	1947
127	285	1946
128	288	1949
129	291	1950
130	294	1951
131	297	1953
132	299	1949
133	300	1944
134	303	1945
135	305	1941
136	307	1936
137	309	1935
138	310	1925
139	312	1922
140	314	1916
141	316	1911
142	318	1906
143	320	1903
144	322	1901
145	324	1897
146	326	1892
147	327	1887
148	329	1883
149	331	1879
150	333	1874
151	335	1869
152	337	1865
153	338	1860
154	340	1856
155	342	1851
156	344	1848
157	346	1844
158	348	1841
159	349	1837
160	351	1833
161	353	1829
162	355	1826
163	357	1823
164	359	1821
165	362	1820
166	364	1815
167	365	1811
168	367	1808
169	369	1804
170	371	1801
171	373	1797
172	375	1794
173	377	1791
174	379	1787
175	380	1783
176	382	1779
177	384	1777
178	386	1773
179	388	1769
180	390	1765
181	392	1761
182	394	1762
183	396	1758
184	398	1756
185	401	1755
186	403	1755
187	405	1752
188	407	1749
189	409	1746
190	411	1743
191	413	1739
192	415	1735
193	417	1732
194	419	1730
195	420	1726
196	422	1722
197	424	1720
198	426	1718
199	428	1714
200	430	1710
201	432	1707
202	434	1705
203	435	1701
204	437	1697
205	439	1693
206	442	1693
207	444	1690
208	445	1687
209	447	1683
210	449	1679
211	450	1676
212	452	1673
213	455	1671
214	456	1668
215	459	1666
216	460	1662
217	462	1658
218	463	1654
219	465	1651
220	467	1648
221	469	1644
222	470	1640
223	472	1636
224	474	1633
225	475	1629
226	477	1626
227	479	1622
228	480	1618
229	482	1615
230	484	1612
231	486	1610
232	488	1607
233	489	1603
234	491	1600
235	493	1597
236	495	1593
237	496	1590
238	498	1587
239	500	1583
240	502	1582
241	504	1579
242	505	1575
243	507	1571
244	508	1568
245	510	1564
246	512	1561
247	513	1558
248	515	1555
249	517	1551
250	518	1548
251	520	1544
252	522	1542
253	524	1539
254	525	1536
255	527	1532
256	529	1529
257	530	1526
258	532	1523
259	534	1520
260	535	1517
261	537	1514
262	539	1511
263	541	1508
264	542	1505
265	544	1502
266	546	1500
267	548	1497
268	550	1494
269	551	1491
270	553	1488
271	555	1485
272	557	1484
273	559	1481
274	561	1479
275	562	1476
276	564	1473
277	566	1470
278	567	1467
279	569	1465
280	571	1461
281	572	1458
282	574	1455
283	576	1452
284	578	1450
285	579	1446
286	581	1443
287	582	1441
288	584	1437
289	586	1435
290	587	1432
291	589	1429
292	591	1426
293	592	1423
294	594	1420
295	596	1418
296	597	1415
297	599	1412
298	601	1410
299	603	1407
300	604	1404
301	606	1401
302	608	1399
303	609	1396
304	612	1394
305	613	1391
306	615	1389
307	616	1386
308	618	1383
309	620	1381
310	622	1378
311	623	1375
312	625	1372
313	627	1370
314	629	1369
315	631	1366
316	633	1364
317	635	1361
318	637	1360
319	638	1357
320	640	1354
321	642	1351
322	643	1349
323	646	1348
324	647	1345
325	649	1342
326	651	1340
327	653	1338
328	654	1335
329	656	1333
330	658	1330
331	660	1328
332	661	1325
333	663	1323
334	665	1320
335	666	1317
336	668	1315
337	670	1312
338	672	1310
339	673	1307
340	675	1305
341	677	1302
342	678	1300
343	680	1297
344	682	1294
345	683	1292
346	685	1290
347	687	1288
348	689	1285
349	690	1282
350	692	1280
351	694	1278
352	695	1275
353	697	1273
354	699	1271
355	701	1269
356	703	1266
357	704	1264
358	706	1261
359	708	1259
360	710	1258
361	712	1256
362	714	1253
363	716	1251
364	718	1249
365	719	1247
366	721	1244
367	723	1241
368	725	1240
369	727	1238
370	729	1235
371	730	1233
372	732	1231
373	734	1228
374	735	1226
375	737	1223
376	739	1221
377	740	1218
378	742	1216
379	744	1214
380	745	1211
381	747	1209
382	749	1206
383	750	1204
384	752	1202
385	754	1199
386	755	1197
387	757	1194
388	759	1192
389	761	1190
390	762	1187
391	764	1185
392	766	1183
393	767	1181
394	769	1178
