iter	Passed	Remaining
0	0	663
1	1	665
2	1	637
3	2	651
4	3	641
5	3	645
6	4	639
7	5	627
8	5	621
9	6	619
10	6	615
11	7	617
12	8	613
13	8	604
14	9	611
15	9	612
16	10	606
17	11	606
18	11	600
19	12	601
20	12	600
21	13	600
22	14	602
23	14	603
24	15	602
25	16	600
26	16	600
27	17	599
28	17	599
29	18	599
30	19	597
31	19	596
32	20	595
33	21	597
34	21	596
35	22	594
36	22	590
37	23	590
38	23	588
39	24	586
40	25	587
41	25	589
42	26	591
43	27	603
44	28	602
45	28	601
46	29	600
47	30	599
48	30	598
49	31	598
50	32	595
51	32	595
52	33	594
53	33	594
54	34	595
55	35	595
56	35	594
57	36	592
58	37	591
59	37	590
60	37	584
61	38	583
62	39	583
63	39	584
64	40	583
65	41	582
66	41	581
67	42	578
68	42	577
69	43	577
70	44	576
71	44	576
72	45	576
73	45	575
74	46	575
75	47	574
76	47	574
77	48	573
78	49	574
79	49	574
80	50	573
81	51	573
82	51	572
83	52	572
84	53	571
85	53	570
86	54	570
87	55	577
88	56	576
89	56	575
90	57	574
91	58	574
92	58	574
93	59	573
94	60	572
95	60	572
96	61	571
97	62	571
98	62	571
99	63	571
100	64	570
101	64	569
102	65	569
103	65	568
104	66	567
105	67	566
106	67	565
107	68	565
108	69	564
109	69	564
110	70	564
111	71	563
112	71	562
113	72	561
114	72	561
115	73	561
116	74	560
117	74	560
118	75	559
119	76	559
120	76	558
121	77	557
122	78	556
123	78	553
124	79	553
125	79	552
126	80	551
127	80	550
128	81	550
129	82	549
130	82	548
131	83	551
132	84	551
133	85	550
134	85	549
135	86	548
136	86	547
137	87	546
138	88	546
139	88	546
140	89	545
141	90	544
142	90	543
143	91	543
144	92	542
145	92	543
146	93	542
147	94	542
148	94	542
149	95	540
150	96	540
151	96	539
152	97	538
153	98	538
154	98	537
155	99	537
156	99	536
157	100	536
158	101	535
159	101	534
160	102	534
161	103	533
162	103	532
163	104	534
164	105	533
165	106	532
166	106	531
167	107	531
168	107	530
169	108	529
170	109	528
171	109	528
172	110	527
173	111	527
174	111	526
175	112	525
176	112	524
177	113	525
178	114	524
179	115	524
180	115	523
181	116	522
182	117	522
183	117	522
184	118	521
185	118	520
186	119	520
187	120	519
188	120	518
189	121	518
190	122	517
191	122	516
192	123	516
193	124	516
194	125	516
195	125	515
196	126	513
197	126	513
198	127	512
199	128	512
200	128	512
201	129	511
202	130	511
203	130	509
204	131	509
205	132	509
206	132	508
207	133	507
208	133	507
209	134	506
210	135	505
211	135	505
212	136	504
213	137	503
214	137	502
215	138	501
216	138	500
217	139	500
218	140	499
219	140	499
220	141	498
221	142	497
222	142	497
223	143	496
224	144	496
225	144	495
226	145	495
227	145	494
228	146	493
229	147	493
230	147	492
231	148	491
232	149	491
233	149	490
234	150	490
235	151	489
236	151	488
237	152	488
238	153	487
239	153	487
240	154	486
241	155	488
242	156	487
243	157	486
244	157	486
245	158	485
246	159	484
247	159	484
248	160	483
249	160	482
250	161	481
251	162	481
252	162	480
253	163	479
254	163	478
255	164	478
256	165	477
257	165	476
258	166	476
259	167	475
260	167	474
261	168	474
262	169	473
263	169	472
264	170	472
265	170	471
266	171	471
267	172	470
268	172	469
269	173	469
270	174	468
271	174	467
272	175	467
273	176	466
274	176	466
275	177	465
276	178	465
277	178	464
278	179	463
279	180	463
280	180	462
281	181	461
282	182	461
283	182	460
284	183	459
285	183	459
286	184	458
287	185	458
288	185	457
289	186	456
290	187	455
291	187	455
292	188	454
293	189	453
294	189	453
295	190	452
296	190	451
297	191	451
298	192	450
299	192	449
300	193	449
301	194	449
302	194	448
303	195	447
304	196	447
305	196	446
306	197	445
307	198	445
308	198	444
309	199	443
310	199	442
311	200	442
312	201	441
313	201	440
314	202	440
315	203	439
316	204	440
317	205	439
318	206	440
319	207	439
320	207	439
321	208	438
322	208	437
323	209	436
324	210	436
325	210	435
326	211	434
327	211	434
328	212	433
329	213	432
330	213	431
331	214	431
332	215	430
333	215	429
334	216	429
335	217	428
336	217	428
337	218	427
338	218	426
339	219	426
340	220	425
341	221	426
342	222	425
343	223	425
344	223	424
345	224	423
346	224	423
347	225	422
348	226	421
349	226	421
350	227	420
351	228	419
352	228	419
353	229	418
354	230	417
355	230	416
356	230	415
357	231	415
358	232	414
359	232	413
360	233	413
361	234	412
362	234	411
363	235	410
364	235	410
365	236	409
366	237	408
367	237	408
368	238	407
369	239	406
370	239	406
371	240	405
372	240	404
373	241	404
374	242	403
375	242	402
376	243	402
377	244	401
378	244	400
379	245	400
380	245	399
381	246	398
382	247	398
383	247	397
384	248	396
385	248	395
386	249	395
387	250	395
388	251	395
389	252	394
390	252	393
391	253	393
392	254	392
393	254	391
394	255	391
395	255	390
396	256	389
397	257	389
398	257	388
399	258	387
400	259	387
401	259	386
402	260	385
403	261	385
404	261	384
405	262	383
406	262	383
407	263	382
408	264	381
409	264	381
410	265	380
411	266	379
412	266	379
413	267	378
414	268	377
415	268	377
416	269	376
417	269	375
418	270	375
419	271	374
420	272	374
421	272	373
422	273	372
423	274	372
424	274	371
425	275	371
426	276	371
427	277	370
428	278	370
429	278	369
430	279	368
431	279	368
432	280	367
433	281	366
434	282	367
435	283	366
436	283	365
437	284	365
438	284	364
439	285	363
440	286	362
441	286	361
442	287	361
443	288	360
444	288	359
445	289	359
446	289	358
447	290	357
448	290	357
449	291	356
450	292	355
451	292	355
452	293	354
453	294	353
454	294	353
455	295	352
456	296	351
457	296	351
458	297	350
459	298	350
460	298	349
461	299	348
462	300	348
463	300	347
464	301	346
465	302	346
466	303	346
467	303	345
468	304	344
469	305	344
470	305	343
471	306	342
472	306	342
473	307	341
474	308	340
475	308	340
476	309	339
477	310	338
478	310	338
479	312	338
480	312	337
481	313	336
482	314	336
483	314	335
484	315	334
485	316	334
486	316	333
487	317	332
488	318	332
489	318	331
490	319	330
491	319	330
492	320	329
493	321	328
494	321	328
495	322	327
496	322	326
497	323	326
498	324	325
499	324	324
500	325	324
501	326	323
502	326	322
503	327	322
504	328	321
505	328	320
506	329	320
507	330	319
508	330	318
509	331	318
510	331	317
511	333	317
512	333	316
513	334	316
514	335	315
515	335	314
516	336	314
517	336	313
518	337	312
519	338	312
520	338	311
521	339	311
522	340	310
523	341	310
524	341	309
525	342	308
526	343	308
527	343	307
528	344	306
529	345	305
530	345	305
531	346	304
532	346	303
533	347	303
534	348	302
535	348	301
536	349	301
537	350	300
538	350	300
539	351	299
540	352	298
541	352	298
542	353	297
543	354	296
544	354	296
545	355	295
546	356	295
547	357	294
548	357	293
549	358	293
550	359	292
551	359	292
552	361	292
553	361	291
554	362	290
555	363	289
556	363	289
557	364	288
558	364	287
559	365	287
560	366	286
561	366	286
562	367	285
563	368	284
564	368	284
565	369	283
566	370	282
567	370	282
568	371	281
569	372	280
570	372	280
571	373	279
572	374	278
573	374	278
574	375	277
575	376	276
576	376	276
577	377	275
578	377	274
579	378	274
580	379	273
581	379	272
582	380	271
583	380	271
584	381	270
585	382	269
586	382	269
587	383	268
588	383	267
589	384	267
590	385	266
591	385	265
592	386	265
593	387	264
594	387	263
595	388	263
596	389	262
597	389	261
598	390	261
599	390	260
600	391	259
601	392	259
602	392	258
603	393	257
604	393	257
605	394	256
606	395	255
607	395	255
608	396	254
609	396	253
610	397	252
611	397	252
612	398	251
613	399	250
614	399	250
615	400	249
616	401	249
617	401	248
618	402	247
619	403	247
620	403	246
621	404	245
622	404	244
623	405	244
624	406	243
625	406	242
626	407	242
627	407	241
628	408	240
629	408	240
630	409	239
631	410	238
632	410	238
633	411	237
634	412	237
635	412	236
636	413	235
637	414	235
638	414	234
639	415	233
640	416	233
641	416	232
642	417	231
643	417	231
644	418	230
645	419	229
646	419	229
647	420	228
648	421	227
649	421	227
650	422	226
651	422	225
652	423	225
653	424	224
654	424	223
655	425	223
656	425	222
657	426	221
658	427	221
659	427	220
660	428	219
661	429	219
662	429	218
663	430	217
664	430	217
665	431	216
666	432	215
667	432	215
668	433	214
669	434	213
670	434	213
671	435	212
672	436	211
673	436	211
674	437	210
675	438	210
676	438	209
677	439	208
678	439	207
679	440	207
680	441	206
681	441	205
682	442	205
683	442	204
684	443	203
685	444	203
686	444	202
687	445	202
688	446	201
689	446	200
690	447	200
691	448	199
692	448	198
693	449	198
694	449	197
695	450	196
696	451	196
697	451	195
698	452	194
699	452	194
700	453	193
701	454	192
702	454	192
703	455	191
704	456	190
705	456	190
706	457	189
707	457	188
708	458	188
709	459	187
710	459	186
711	460	186
712	460	185
713	461	184
714	462	184
715	462	183
716	464	183
717	464	182
718	466	182
719	466	181
720	467	180
721	468	180
722	469	179
723	469	179
724	470	178
725	471	177
726	471	177
727	472	176
728	472	175
729	473	175
730	474	174
731	474	173
732	475	173
733	476	172
734	476	171
735	477	171
736	478	170
737	478	169
738	479	169
739	479	168
740	480	167
741	481	167
742	481	166
743	482	166
744	483	165
745	483	164
746	484	164
747	484	163
748	485	162
749	486	162
750	486	161
751	487	160
752	487	160
753	488	159
754	489	158
755	489	158
756	490	157
757	491	156
758	491	156
759	492	155
760	492	154
761	493	154
762	494	153
763	494	152
764	495	152
765	496	151
766	496	150
767	497	150
768	498	149
769	498	149
770	499	148
771	500	147
772	500	147
773	501	146
774	501	145
775	502	145
776	503	144
777	503	143
778	504	143
779	505	142
780	505	141
781	506	141
782	507	140
783	507	139
784	508	139
785	508	138
786	509	137
787	510	137
788	510	136
789	511	135
790	512	135
791	512	134
792	513	134
793	514	133
794	514	132
795	515	132
796	516	131
797	516	130
798	517	130
799	518	129
800	518	128
801	519	128
802	519	127
803	520	126
804	521	126
805	522	125
806	523	125
807	523	124
808	524	123
809	525	123
810	525	122
811	526	121
812	526	121
813	527	120
814	528	119
815	529	119
816	529	118
817	530	118
818	531	117
819	531	116
820	532	116
821	533	115
822	533	114
823	534	114
824	534	113
825	535	112
826	536	112
827	536	111
828	537	110
829	538	110
830	538	109
831	539	108
832	539	108
833	540	107
834	541	106
835	541	106
836	542	105
837	543	104
838	543	104
839	544	103
840	545	103
841	546	102
842	546	101
843	547	101
844	548	100
845	548	99
846	549	99
847	550	98
848	550	97
849	551	97
850	552	96
851	552	96
852	553	95
853	553	94
854	554	94
855	555	93
856	555	92
857	556	92
858	556	91
859	557	90
860	558	90
861	558	89
862	559	88
863	560	88
864	560	87
865	561	86
866	561	86
867	562	85
868	563	84
869	563	84
870	564	83
871	565	82
872	565	82
873	566	81
874	566	80
875	567	80
876	568	79
877	568	79
878	569	78
879	570	77
880	570	77
881	571	76
882	572	75
883	572	75
884	573	74
885	574	73
886	575	73
887	575	72
888	576	71
889	577	71
890	577	70
891	578	70
892	579	69
893	579	68
894	580	68
895	581	67
896	581	66
897	582	66
898	582	65
899	583	64
900	584	64
901	584	63
902	585	62
903	586	62
904	586	61
905	587	60
906	588	60
907	588	59
908	589	58
909	589	58
910	590	57
911	591	57
912	591	56
913	592	55
914	592	55
915	593	54
916	594	53
917	594	53
918	595	52
919	596	51
920	596	51
921	597	50
922	597	49
923	598	49
924	598	48
925	599	47
926	600	47
927	600	46
928	601	45
929	602	45
930	602	44
931	603	44
932	603	43
933	604	42
934	605	42
935	606	41
936	607	40
937	607	40
938	608	39
939	609	38
940	610	38
941	611	37
942	611	36
943	612	36
944	612	35
945	613	35
946	614	34
947	614	33
948	615	33
949	616	32
950	617	31
951	617	31
952	618	30
953	618	29
954	619	29
955	620	28
956	620	27
957	621	27
958	622	26
959	622	25
960	623	25
961	623	24
962	624	23
963	625	23
964	625	22
965	626	22
966	627	21
967	627	20
968	628	20
969	629	19
970	630	18
971	631	18
972	631	17
973	632	16
974	633	16
975	633	15
976	634	14
977	634	14
978	635	13
979	636	12
980	636	12
981	637	11
982	638	11
983	638	10
984	639	9
985	639	9
986	640	8
987	641	7
988	641	7
989	642	6
990	643	5
991	643	5
992	644	4
993	645	3
994	645	3
995	646	2
996	647	1
997	647	1
998	648	0
999	648	0
