iter	Logloss
0	0.6877365179
1	0.6827472951
2	0.6772747147
3	0.6720533551
4	0.665905738
5	0.6607564886
6	0.6546899118
7	0.6497470376
8	0.6449171135
9	0.6410545453
10	0.6367265533
11	0.6323377221
12	0.627798782
13	0.6237224432
14	0.6194373303
15	0.6152407905
16	0.6119376433
17	0.6085974544
18	0.6049203152
19	0.6002664902
20	0.5964109467
21	0.5928873992
22	0.5894877622
23	0.5859743653
24	0.5816558509
25	0.5781120777
26	0.5742938044
27	0.5715480396
28	0.5681645324
29	0.5644069437
30	0.561882766
31	0.5594359032
32	0.5561498202
33	0.5525280063
34	0.5496894519
35	0.5470551673
36	0.5438565014
37	0.5412524378
38	0.5384841479
39	0.5357632774
40	0.5324540831
41	0.5299027591
42	0.5268410335
43	0.5239156713
44	0.5210308141
45	0.5183098935
46	0.5165300949
47	0.5137041467
48	0.5111656723
49	0.5084854215
50	0.5064220939
51	0.5039029609
52	0.5014311255
53	0.4988531855
54	0.4968490664
55	0.4946181481
56	0.4926785356
57	0.4906938288
58	0.4889384229
59	0.4868100009
60	0.4842177859
61	0.4828284553
62	0.4804581622
63	0.4792839535
64	0.4776114728
65	0.4757459602
66	0.4739391167
67	0.472380516
68	0.4705586183
69	0.4682196184
70	0.466669119
71	0.4651227577
72	0.4634298945
73	0.4612953978
74	0.4594584396
75	0.4578137719
76	0.4561934017
77	0.4542594086
78	0.4525297206
79	0.4507108628
80	0.449052011
81	0.4470901488
82	0.4452597406
83	0.4439951917
84	0.442454249
85	0.4411413099
86	0.4395981238
87	0.4383385496
88	0.4369434151
89	0.435127387
90	0.4335335988
91	0.4324031739
92	0.4311159448
93	0.4298657251
94	0.4288306643
95	0.4277006927
96	0.4264242533
97	0.4252064639
98	0.4241584149
99	0.4229537988
100	0.4214265606
101	0.4202154943
102	0.4188905712
103	0.4177047524
104	0.416705831
105	0.415563527
106	0.4140241517
107	0.4131661308
108	0.4121402555
109	0.4112384169
110	0.4101137816
111	0.4093601834
112	0.4083325206
113	0.407373214
114	0.4065430978
115	0.4058259596
116	0.4045367267
117	0.4037159701
118	0.4028612946
119	0.4015514549
120	0.4006361604
121	0.3999202974
122	0.3990749331
123	0.3981890713
124	0.3972855592
125	0.3963728918
126	0.3952830252
127	0.3942475622
128	0.3936231099
129	0.3928786106
130	0.3922140451
131	0.3915688817
132	0.390795749
133	0.3900532997
134	0.3891278617
135	0.3884103979
136	0.388035835
137	0.3870422337
138	0.3862311847
139	0.3856609059
140	0.3849497933
141	0.3841958728
142	0.3833351226
143	0.3827278052
144	0.3819796943
145	0.3813024894
146	0.3806033377
147	0.3799692004
148	0.3795093986
149	0.3789212265
150	0.3784681457
151	0.3777599946
152	0.3769055176
153	0.3763471234
154	0.3755825068
155	0.3751365877
156	0.3745873783
157	0.3737185949
158	0.3730846187
159	0.3723105965
160	0.3717715562
161	0.3709883359
162	0.3702330118
163	0.3697365687
164	0.3694163987
165	0.3688474208
166	0.3682746805
167	0.367755199
168	0.366940927
169	0.3663470491
170	0.3656504557
171	0.3652576186
172	0.3647260746
173	0.3643151883
174	0.3638568765
175	0.3630274299
176	0.3625708679
177	0.3618695543
178	0.3612837249
179	0.360819964
180	0.3603767639
181	0.3598333635
182	0.3592936891
183	0.3588412301
184	0.3582427018
185	0.3579703086
186	0.3575198301
187	0.3569661844
188	0.3563989861
189	0.3560757296
190	0.3555925037
191	0.3551652526
192	0.3547714848
193	0.3541864795
194	0.3538497724
195	0.3533835465
196	0.3529868339
197	0.3524429956
198	0.3518377856
199	0.3512612789
200	0.3507313268
201	0.3503679679
202	0.3499745058
203	0.3495531365
204	0.3490250339
205	0.3485485241
206	0.3480611288
207	0.3476535533
208	0.3470650916
209	0.3465623574
210	0.3461810602
211	0.3457565726
212	0.345370371
213	0.3449377436
214	0.3444388934
215	0.3440114383
216	0.3437976367
217	0.343298804
218	0.3430259846
219	0.3427043658
220	0.3423093821
221	0.3418740344
222	0.3414172544
223	0.3409650125
224	0.340606527
225	0.3400315729
226	0.3397210382
227	0.3394909795
228	0.3391562509
229	0.33874803
230	0.3382467852
231	0.3378979563
232	0.3374372003
233	0.3370383617
234	0.3366517069
235	0.3364801313
236	0.3359877129
237	0.335770027
238	0.3355042895
239	0.3351813754
240	0.334667053
241	0.3344088906
242	0.3340397874
243	0.3337207741
244	0.3332460638
245	0.3329280918
246	0.3325531626
247	0.3323160565
248	0.3319185267
249	0.3314862191
250	0.3310666418
251	0.3308240863
252	0.3304946349
253	0.3303827038
254	0.330124732
255	0.3297912788
256	0.329578943
257	0.3292468608
258	0.3289759164
259	0.32855879
260	0.3282757023
261	0.3278704375
262	0.327457109
263	0.3271649889
264	0.3268844274
265	0.3266933073
266	0.3262675667
267	0.3259520058
268	0.3257122312
269	0.3255310635
270	0.3252665426
271	0.3250242596
272	0.3249051983
273	0.3245949983
274	0.3243614152
275	0.3239333369
276	0.3235902523
277	0.3233801995
278	0.322942193
279	0.3226828718
280	0.3224181146
281	0.3220741055
282	0.3218085769
283	0.3216264602
284	0.3211415771
285	0.3210364942
286	0.3207729488
287	0.3206036343
288	0.320414236
289	0.3199432498
290	0.3196518662
291	0.3194418669
292	0.3193057866
293	0.3189947882
294	0.3187030053
295	0.3183524289
296	0.3180341223
297	0.3179337685
298	0.3176277152
299	0.3173624979
300	0.3171099291
301	0.3167473455
302	0.3165033256
303	0.3163230255
304	0.316003157
305	0.315771231
306	0.3156042129
307	0.3152932757
308	0.3151505093
309	0.3148935874
310	0.3146426285
311	0.3143877366
312	0.3141922439
313	0.3137575507
314	0.3135595238
315	0.3134187267
316	0.3131909193
317	0.3129101532
318	0.3126009291
319	0.3123050483
320	0.3120210607
321	0.3118602173
322	0.3116443419
323	0.3114261157
324	0.3110452707
325	0.3109240553
326	0.3108315143
327	0.3105461399
328	0.3103086143
329	0.3100741176
330	0.3097984523
331	0.3097319889
332	0.3094099784
333	0.3091346084
334	0.3089998661
335	0.3087956153
336	0.308702383
337	0.3082395391
338	0.308014012
339	0.3077671854
340	0.3075554401
341	0.3073582697
342	0.3071391164
343	0.3068803508
344	0.3066282583
345	0.3062315047
346	0.3060380219
347	0.305803099
348	0.3055917144
349	0.3054521927
350	0.3052367946
351	0.304884328
352	0.3047162786
353	0.3044652834
354	0.3040024636
355	0.3038011918
356	0.3036155511
357	0.3034023313
358	0.3033118436
359	0.3032585193
360	0.30269194
361	0.302620362
362	0.3023227225
363	0.3020043078
364	0.3019100862
365	0.3015963023
366	0.3014358599
367	0.3010722298
368	0.3009087953
369	0.3007408728
370	0.3004868586
371	0.3003415169
372	0.3001266867
373	0.3000463706
374	0.2997642488
375	0.2995440753
376	0.299316686
377	0.2992195764
378	0.2991584582
379	0.2990531456
38380	0.29317665938381	0.2928721099
382	0.2927720634
383	0.2925203971
384	0.2922392048
385	0.2920306429
386	0.2918437761
387	0.2914798984
388	0.2912185518
389	0.2910492218
390	0.2908102084
391	0.2906831482
392	0.2904869048
393	0.2903926582
394	0.2902005987
395	0.2899733168
396	0.2897789438
397	0.2895945877
398	0.2894459289
399	0.28925603
400	0.2890276697
401	0.2887278714
402	0.2884414183
403	0.2882862327
404	0.2881463617
405	0.2880260869
406	0.2878729658
407	0.2875573162
408	0.2874518027
409	0.287100756
410	0.2869061341
411	0.2867495592
412	0.286322386
413	0.2860111274
414	0.2857218171
415	0.2855933738
416	0.2853811215
417	0.2852352593
418	0.2850788837
419	0.284862961
420	0.2846910324
421	0.2845010216
