iter	Passed	Remaining
0	54	54616
1	55	27637
2	56	18642
3	56	14142
4	59	11839
5	64	10710
6	65	9273
7	66	8193
8	68	7492
9	69	6867
10	71	6391
11	71	5912
12	72	5506
13	73	5157
14	73	4855
15	74	4590
16	75	4357
17	76	4149
18	76	3963
19	86	4217
20	87	4101
21	89	3964
22	89	3819
23	90	3680
24	91	3557
25	91	3444
26	92	3342
27	93	3237
28	94	3179
29	95	3093
30	96	3023
31	97	2948
32	98	2878
33	98	2811
34	99	2748
35	100	2687
36	101	2630
37	101	2576
38	102	2525
39	103	2476
40	103	2430
41	104	2386
42	105	2344
43	106	2303
44	107	2282
45	108	2245
46	109	2222
47	110	2187
48	111	2154
49	111	2122
50	112	2091
51	113	2062
52	113	2034
53	114	2006
54	115	1980
55	115	1955
56	116	1930
57	117	1906
58	118	1883
59	118	1861
60	120	1857
61	122	1846
62	122	1825
63	123	1799
64	123	1780
65	124	1761
66	125	1743
67	125	1725
68	126	1708
69	127	1691
70	128	1675
71	128	1659
72	129	1643
73	130	1628
74	130	1613
75	131	1599
76	132	1586
77	133	1572
78	133	1559
79	134	1552
80	135	1540
81	137	1535
82	139	1536
83	141	1542
84	143	1543
85	145	1543
86	146	1541
87	148	1535
88	148	1524
89	149	1512
90	150	1501
91	151	1491
92	151	1481
93	154	1484
94	155	1480
95	156	1472
96	157	1461
97	158	1458
98	159	1449
99	159	1439
100	160	1430
101	161	1421
102	162	1411
103	162	1402
104	163	1393
105	164	1384
106	164	1376
107	165	1367
108	166	1359
109	166	1349
110	167	1341
111	168	1333
112	169	1327
113	169	1320
114	180	1389
115	187	1426
116	202	1531
117	210	1570
118	212	1570
119	217	1595
120	223	1620
121	225	1620
122	234	1672
123	235	1666
124	236	1656
125	237	1649
126	239	1644
127	240	1639
128	241	1629
129	242	1619
130	243	1614
131	244	1605
132	246	1603
133	247	1596
134	247	1588
135	249	1582
136	249	1573
137	250	1565
138	252	1561
139	252	1552
140	253	1544
141	254	1535
142	254	1527
143	256	1522
144	257	1516
145	257	1508
146	258	1500
147	259	1492
148	259	1484
149	260	1477
150	261	1471
151	264	1474
152	265	1468
153	266	1461
154	266	1454
155	267	1446
156	268	1439
157	268	1432
158	269	1425
159	270	1418
160	270	1411
161	272	1407
162	272	1401
163	273	1394
164	274	1388
165	274	1381
166	275	1375
167	276	1368
168	277	1362
169	277	1356
170	278	1350
171	279	1344
172	279	1338
173	280	1332
174	281	1326
175	283	1327
176	284	1323
177	285	1317
178	286	1312
179	286	1306
180	287	1300
181	288	1295
182	288	1289
183	289	1284
184	290	1278
185	290	1273
186	291	1267
187	293	1266
188	294	1261
189	296	1262
190	297	1259
191	299	1259
192	300	1257
193	301	1251
194	302	1246
195	302	1241
196	303	1236
197	304	1232
198	304	1227
199	305	1222
200	306	1217
201	306	1212
202	307	1207
203	310	1211
204	311	1207
205	312	1203
206	312	1198
207	313	1194
208	314	1189
209	315	1185
210	315	1180
211	316	1176
212	317	1171
213	317	1167
214	318	1162
215	319	1158
216	319	1154
217	320	1150
218	321	1145
219	323	1146
220	324	1142
221	324	1138
222	327	1140
223	328	1138
224	331	1143
225	332	1139
226	333	1135
227	335	1135
228	336	1131
229	336	1127
230	337	1123
231	338	1119
232	338	1115
233	339	1111
234	340	1107
235	341	1103
236	341	1100
237	342	1096
238	343	1092
239	343	1088
