iter	Logloss
0	0.6874094675
1	0.6820799711
2	0.6768279152
3	0.6713908787
4	0.6671893893
5	0.6619412916
6	0.6572560621
7	0.6524750208
8	0.6479556552
9	0.6422891436
10	0.6380320046
11	0.6339119513
12	0.6299887079
13	0.6254593813
14	0.6209219191
15	0.6171825455
16	0.613021724
17	0.6093897781
18	0.6059024857
19	0.601946169
20	0.5984420391
21	0.5944997685
22	0.5909611841
23	0.5877207027
24	0.5847799192
25	0.5817079408
26	0.5787435502
27	0.575058826
28	0.5726478539
29	0.5696087571
30	0.5662467757
31	0.5628297063
32	0.5604659033
33	0.558056133
34	0.5550696065
35	0.5524028536
36	0.5497448154
37	0.5471924489
38	0.5452265712
39	0.5430509574
40	0.5406436096
41	0.5381394691
42	0.5354635857
43	0.5326672163
44	0.5304310838
45	0.528167056
46	0.5252801403
47	0.5233381064
48	0.521689559
49	0.5194801608
50	0.5172025193
51	0.5147355517
52	0.5126543802
53	0.5108353285
54	0.5082715831
55	0.5061257605
56	0.5043949285
57	0.5025537663
58	0.5003836978
59	0.4989252765
60	0.4974373443
61	0.4955106258
62	0.4934364281
63	0.491914337
64	0.4901443688
65	0.4883025345
66	0.4867907374
67	0.4854943851
68	0.4838101748
69	0.4822621431
70	0.4810145279
71	0.4795535461
72	0.4780151131
73	0.4763524855
74	0.4746627395
75	0.4733746802
76	0.4719239208
77	0.4708030481
78	0.4691753412
79	0.4677672386
80	0.4660942251
81	0.4648037149
82	0.4637198343
83	0.4623078928
84	0.4608251111
85	0.4593734338
86	0.4581541329
87	0.456839099
88	0.4558374098
89	0.4548539454
90	0.4536730164
91	0.4530795955
92	0.4522592818
93	0.4509420595
94	0.4497679825
95	0.448548792
96	0.4475433753
97	0.4464770301
98	0.4453451525
99	0.4440637617
100	0.4431163469
101	0.4420824101
102	0.4412572338
103	0.4398502125
104	0.4387717291
105	0.4379659446
106	0.437038374
107	0.436101548
108	0.4352132868
109	0.4345058069
110	0.4334262013
111	0.432582191
112	0.4319235246
113	0.4310651167
114	0.430259828
115	0.4294025097
116	0.428746571
117	0.4279611008
118	0.4270077334
119	0.4261486224
120	0.4255159154
121	0.4246646753
122	0.4235421168
123	0.4228167963
124	0.422050099
125	0.4209333649
126	0.4202057945
127	0.4193789759
128	0.4188408131
129	0.4179670657
130	0.4172226971
131	0.4165801247
132	0.4157041056
133	0.415048252
134	0.4144155461
135	0.4136244669
136	0.4128303569
137	0.412235542
138	0.4111495907
139	0.4103081986
140	0.409579336
141	0.4089864238
142	0.4082207779
143	0.4077258381
144	0.4071045322
145	0.4064387586
146	0.4056696445
147	0.4049575588
148	0.4040342907
149	0.403489174
150	0.4028924643
151	0.4022301398
152	0.4014960356
153	0.4007190245
154	0.3998886065
155	0.3993716219
156	0.3987258225
157	0.3981247125
158	0.3975364586
159	0.3973239896
160	0.3966082468
161	0.3959946432
162	0.3953828353
163	0.3946072939
164	0.3941837017
165	0.3936155018
166	0.3930845968
167	0.3925112315
168	0.3915283758
169	0.3911622696
170	0.3906919153
171	0.3899895808
172	0.3894346519
173	0.3889034888
174	0.3882853135
175	0.3876019227
176	0.3870230389
177	0.3865215407
178	0.3859272535
179	0.3853959855
180	0.3844708753
181	0.384029746
182	0.3835368837
183	0.3830089062
184	0.3823305493
185	0.3817789648
186	0.3814169464
187	0.3807208558
188	0.3800549653
189	0.3795247885
190	0.3788905056
191	0.3782795583
192	0.3776487285
193	0.3770417369
194	0.3765964414
195	0.3762236541
196	0.3756852639
197	0.3749567471
198	0.3746230952
199	0.374115091
200	0.3732961802
201	0.3728239169
202	0.3723561528
203	0.371701271
204	0.3711345775
205	0.3706152659
206	0.3700972771
207	0.3697252839
208	0.3692546875
209	0.3683931287
210	0.3679359882
211	0.3675749604
212	0.3670390261
213	0.3665607551
214	0.3661155489
215	0.3657237434
216	0.3654720415
217	0.3648673603
218	0.3643773946
219	0.3640979321
220	0.3637691877
221	0.3631850916
222	0.3629082031
223	0.3625120735
224	0.3621438111
225	0.361826206
226	0.3614433584
227	0.360909616
228	0.3602238864
229	0.35980836
230	0.3593426419
231	0.3589891716
232	0.358470317
233	0.3581676015
234	0.3576861815
235	0.3571334706
236	0.3565860059
237	0.355855019
238	0.3554739897
239	0.3551563154
240	0.3548002213
241	0.3542040231
242	0.3537483432
243	0.3533066342
244	0.3528595906
245	0.3523987523
246	0.351941262
247	0.351603158
248	0.351043442
249	0.3505844164
250	0.3503140002
251	0.3497957643
